City,Store Code
CHN-Perumbakkam SS,CHN_PERBKM_SS1R0CC
MYQ-Chamrajpura,MYQ_CMRPRA_P01R0CC
KOC-Friendship nagar,KOC_FRDSHP_P01R0CC
CHN-GERUGAMBAKKAM NETWORK,CHN_GRUGBK_N02R0CC
VJW-Tadepalle,VJW_TDPALE_P01R0CC
MDU-Krishnapuram,MDU_KRHPRM_P01R0CC
PAL-Pallipuram,PAL_PALPRM_P01R0CC
MYQ-Mahadevpura,MYQ_MDVPRA_P01R0CC
VEL-Thottapalayam,VEL_TTPLYM_P01R0CC
KOC-Thengod,KOC_THNGOD_P01R0CC
CHN-Iyyappanthangal,CHN_GRUGBK_N04R0CC
CHN-Adyar SS,BLR_ADYAR_SS1R0CC
DEV-MCC,DEV_MCC_P01R0CC
HYD-Sainikpuri SS,HYD_SNKPRI_SS1R0CC
HYD-Manikonda Network,HYD_MNKOND_N01R0CC
MUM-Mulund East,MUM_MLD(E)_P01R0CC
CHN-Sivan Nagar,CHN_SVNNGR_P01R0CC
KAR-Vavilalapally,KAR_VAVPLY_P01R0CC
HAR-Haripur Kalan,HAR_HRPKLN_P01R0CC
MUM-Sai Baba Nagar,MUM_KND(W)_N02R0CF
MRT-Daurli,MRT_DAURI_P01R0FF
MUM-Dombivali W New,MUM_DBM(W)_P01R1CC
MUM-Nalasopara,MUM_NALSPR_P01R0CC
DEL-Neb Sarai,DEL_NEBSAR_P01R0CF
PUN-SINHGAD,PUN_SNHGAD_P01R0CC
PUN-Baner SS,PUN_BANER_SS1R0CC
PUN-Dighi,PUN_DIGHI_P01R0CC
HYD-Sai Nagar Colony,HYD_RCPURM_N02R0FF
MUM-Mahajan Wadi,MUM_MHJNWD_P01R0CC
MUM-Boisar,MUM_BOISAR_P01R0CC
VNS-Naibasti,VNS_NABSTI_P01R0CC
KOL-Kamarhati,KOL_KMRHTI_P01R0FF
MUM-Kothari Compound SS,MUM_KOTARI_SS1R0CC
MUM-Manjarli,MUM_MNJRLI_P01R0CC
KOL-BALLYGANJ,KOL_BLYGNJ_P01R0CF
GGN-ARDEE CITY,GGN_ARDCTY_P01R0CC
KOL-Sukhobristi,KOL_UNICTY_N01R0FF
HYD-MUSHEERABAD,HYD_MSHBAD_P01R0CC
KOL-Park street network,KOL_PRKSTR_N01R0CC
HYD-SECUNDERABAD,HYD_SCNDBD_P01R0CC
DEL-MALVIYA NAGAR NEW,DEL_MLVNGR_P01R1CC
MUM-Prabhadevi,MUM_LOWPRL_N02R1CC
VJW-Durgapuram,VJW_DRGPRM_P01R0CC
LKO-Arjunganj,LKO_ARJGNJ_P01R0FF
HYD-Chandanagar New,HYD_CHDNGR_P01R1CC
HYD-Hill County,HYD_NZMPET_N03R0CC
KOL- Rickjoni,KOL_RICJNI_P01R0CC
AHM-Nandanbaug,AHM_NANDBG_P01R0FF
KOC-PALLURTHY,KOC_PLRTHY_P01R0CC
HYD-Bachupally SS,HYD_BCHPLY_SS1R0CC
PUN-Ambegaon SS,PUN_AMBGON_SS1R0CC
MUM-Bhandup New,MUM_BHNDUP_P01R1CC
MUM-Mumbai Central SS,MUM_MUMCEN_SS1R0CC
KOC-Kaloor,KOC_KALOOR_P01R0CC
KTU-Kunadi,KTU_KUNADI_P01R0CF
PAL-Kalpathy,PAL_KLPTHY_P01R0CC
PUN-WARJE,PUN_WARJE_P01R0CC
PUN-Atma Nagar SS,PUN_ATMNGR_SS1R0CC
BLR-Nikoo home SS,BLR_NIKOHM_SS1R0CC
BLR-Malleshwaram SS,BLR_MLSWRM_SS1R0CC
PUN-Magarpatta SS,PUN_MGRPTA_SS1R0CC
PUN-Katraj,PUN_KATRAJ_P01R0CC
KOC-Infopark,KOC_INFPRK_P01R0CC
CHN-Iyyappanthangal,CHN_GRUGBK_N04R0CC
DED-Badripur,DED_BDRIPR_P01R0CC
MDU-TVS Nagar,MDU_TVSNGR_P01R0CC
MUM-Dahanu,MUM_DAHANU_P01R0CC
MUM-Nalasopara West,MUM_NLSPRW_P01R0CC
VEL-VIT,VEL_VIT_P01R0CC
BLR-Kannamangala,BLR_KNMGLA_P01R0FF
VJW-Sanath Nagar,VJW_SNTNGR_P01R0CC
CHN-Perungudi SS,CHN_PRNGDI_SS1R0CC
DED-Dharampur Chowk,DED_DHRMCH_P01R0CC
SPR-Sadar Thana,SPR_CNGTPL_P01R0CC
HBL-Keshwapura,HBL_KSHPRA_P01R0CC
